1,1
2,11
3,21
4,31
5,41
6,51
7,61
8,71
9,81
10,91
11,101
12,111
13,121
14,131
15,141
16,151
17,161
18,171
19,181
20,191
21,201
22,211
23,221
24,231
25,241
26,251
27,261
28,271
29,281
30,291
31,301
32,311
33,321
34,331
35,341
36,351
37,361
38,371
39,381
40,391
41,401
42,411
43,421
44,431
45,441
46,451
47,461
48,471
49,481
50,491
51,501
52,511
53,521
54,531
55,541
56,551
57,561
58,571
59,581
60,591
61,601
62,611
63,621
64,631
65,641
66,651
67,661
68,671
69,681
70,691
71,701
72,711
73,721
74,731
75,741
76,751
77,761
78,771
79,781
80,791
81,801
82,811
83,821
84,831
85,841
86,851
87,861
88,871
89,881
90,891
91,901
92,911
93,921
94,931
95,941
96,951
97,961
98,971
99,981
100,991
101,1001
102,1011
103,1021
104,1031
105,1041
106,1051
107,1061
108,1071
109,1081
110,1091
111,1101
112,1111
113,1121
114,1131
115,1141
116,1151
117,1161
118,1171
119,1181
120,1191
121,1201
122,1211
123,1221
124,1231
125,1241
126,1251
127,1261
128,1271
129,1281
130,1291
131,1301
132,1311
133,1321
134,1331
135,1341
136,1351
137,1361
138,1371
139,1381
140,1391
141,1401
142,1411
143,1421
144,1431
145,1441
146,1451
147,1461
148,1471
149,1481
150,1491
151,1501
152,1511
153,1521
154,1531
155,1541
156,1551
157,1561
158,1571
159,1581
160,1591
161,1601
162,1611
163,1621
164,1631
165,1641
166,1651
167,1661
168,1671
169,1681
170,1691
171,1701
172,1711
173,1721
174,1731
175,1741
176,1751
177,1761
178,1771
179,1781
180,1791
181,1801
182,1811
183,1821
184,1831
185,1841
186,1851
187,1861
188,1871
189,1881
190,1891
191,1901
192,1911
193,1921
194,1931
195,1941
196,1951
197,1961
198,1971
199,1981
200,1991
201,2001
202,2011
203,2021
204,2031
205,2041
206,2051
207,2061
208,2071
209,2081
210,2091
211,2101
212,2111
213,2121
214,2131
215,2141
216,2151
217,2161
218,2171
219,2181
220,2191
221,2201
222,2211
223,2221
224,2231
225,2241
226,2251
227,2261
228,2271
229,2281
230,2291
231,2301
232,2311
233,2321
234,2331
235,2341
236,2351
237,2361
238,2371
239,2381
240,2391
241,2401
242,2411
243,2421
244,2431
245,2441
246,2451
247,2461
248,2471
249,2481
250,2491
251,2501
252,2511
253,2521
254,2531
255,2541
256,2551
257,2561
258,2571
259,2581
260,2591
261,2601
262,2611
263,2621
264,2631
265,2641
266,2651
267,2661
268,2671
269,2681
270,2691
271,2701
272,2711
273,2721
274,2731
275,2741
276,2751
277,2761
278,2771
279,2781
280,2791
281,2801
282,2811
283,2821
284,2831
285,2841
286,2851
287,2861
288,2871
289,2881
290,2891
291,2901
292,2911
293,2921
294,2931
295,2941
296,2951
297,2961
298,2971
299,2981
300,2991
301,3001
302,3011
303,3021
304,3031
305,3041
306,3051
307,3061
308,3071
309,3081
310,3091
311,3101
312,3111
313,3121
314,3131
315,3141
316,3151
317,3161
318,3171
319,3181
320,3191
321,3201
322,3211
323,3221
324,3231
325,3241
326,3251
327,3261
328,3271
329,3281
330,3291
331,3301
332,3311
333,3321
334,3331
335,3341
336,3351
337,3361
338,3371
339,3381
340,3391
341,3401
342,3411
343,3421
344,3431
345,3441
346,3451
347,3461
348,3471
349,3481
350,3491
351,3501
352,3511
353,3521
354,3531
355,3541
356,3551
357,3561
358,3571
359,3581
360,3591
361,3601
362,3611
363,3621
364,3631
365,3641
366,3651
367,3661
368,3671
369,3681
370,3691
371,3701
372,3711
373,3721
374,3731
375,3741
376,3751
377,3761
378,3771
379,3781
380,3791
381,3801
382,3811
383,3821
384,3831
385,3841
386,3851
387,3861
388,3871
389,3881
390,3891
391,3901
392,3911
393,3921
394,3931
395,3941
396,3951
397,3961
398,3971
399,3981
400,3991
401,4001
402,4011
403,4021
404,4031
405,4041
406,4051
407,4061
408,4071
409,4081
410,4091
411,4101
412,4111
413,4121
414,4131
415,4141
416,4151
417,4161
418,4171
419,4181
420,4191
421,4201
422,4211
423,4221
424,4231
425,4241
426,4251
427,4261
428,4271
429,4281
430,4291
431,4301
432,4311
433,4321
434,4331
435,4341
436,4351
437,4361
438,4371
439,4381
440,4391
441,4401
442,4411
443,4421
444,4431
445,4441
446,4451
447,4461
448,4471
449,4481
450,4491
451,4501
452,4511
453,4521
454,4531
455,4541
456,4551
457,4561
458,4571
459,4581
460,4591
461,4601
462,4611
463,4621
464,4631
465,4641
466,4651
467,4661
468,4671
469,4681
470,4691
471,4701
472,4711
473,4721
474,4731
475,4741
476,4751
477,4761
478,4771
479,4781
480,4791
